Pre-market Movers

Pre-market Movers
Symbol,Mark,Mark %Change,Strength Meter
HON,86.850,-0.60%,Range Bound
EXI,68.150,-0.64%,N/A
SLV,19.080,-0.73%,Range Bound
GDX,21.200,-0.84%,Range Bound
BP,45.640,-0.85%,Range Bound
ERIC,11.630,-0.98%,Range Bound
EBAY,52.440,-1.26%,Range Bound
SNY,49.950,-1.27%,Range Bound
CFN,38.950,-1.37%,Range Bound
XCO,4.890,-2.40%,Range Bound
MELI,99.790,-2.89%,Range Bound
ENT,14.590,-4.77%,N/A
FDS,111.000,-5.18%,Range Bound
KKR,23.770,-5.22%,Range Bound
FCEL,1.650,-11.29%,Uptrend
TRGT,4.040,-32.10%,Uptrend
