Symbol,Mark,Mark %Change,Volume,Market Cap
KAZ,1.060,,0,0
KBX,.1127,,0,0
KGN,2.100,,0,0
KOG,10.140,-5.94%,"2,517,119","2,794 M"
KRY,0,-100.00%,0,0
KUN,.1000,,0,0
KXM,.5201,,0,0
LAQ,25.650,-3.39%,"9,374",191 M
LB,71.210,+1.71%,"710,661","20,818 M"
LBY,26.600,-1.19%,"28,166",575 M
LCI,51.590,+4.60%,"523,423","1,841 M"
LEI,.3700,-3.90%,"61,809",12 M
LGL,3.790,0.00%,667,9.8 M
LNG,70.920,-2.72%,"1,399,915","16,885 M"
LOV,4.150,-0.95%,"2,057",100 M
LPH,.6244,,0,0
LTS,4.19990,+0.24%,"198,597",773 M
MAB,14.540,0.00%,0,26 M
MBA,.1402,,0,0
MBR,.2601,,0,0
MCF,33.350,-3.42%,"62,013",646 M
MCZ,.4339,+3.24%,"43,993",28 M
MDF,11.240,,0,0
MDGN,5.000,-2.91%,"15,707",95 M
MDGN/WS,1.080,,0,0
MDM,4.720,+1.07%,30,631 M
MDW,.8800,-2.34%,"91,537",145 M
MEA,.5211,-6.95%,"230,032",25 M
MFN,13.900,0.00%,0,"1,248 M"
MGH,.360,-2.70%,"28,968",18 M
MGN,.5389,+1.68%,"10,704",16 M
MGT,.8101,-1.33%,"10,919",7.8 M
MHE,14.367,+0.57%,"1,502",34 M
MHH,11.060,-1.25%,"1,457",48 M
MHRpC,24.310,-3.38%,"28,515",97 M
MHRpD,43.450,-4.19%,"9,985",192 M
MIW,12.980,,"6,000",20 M
MMG,0,,0,0
MMV,13.390,0.00%,"1,414",37 M
MOC,2.165,-2.04%,500,21 M
MSL,18.810,-0.21%,"3,653",213 M
MSN,1.120,-0.80%,"9,831",30 M
MVF,9.800,-0.03%,"63,688",627 M
MVG,7.070,-4.07%,"12,182",486 M
MXA,15.830,,0,66 M
MXC,6.030,+0.33%,"3,179",12 M
MXN,14.540,,0,21 M
MZA,15.610,0.00%,102,72 M
NAK,.4169,+6.41%,"23,473",40 M
NBH,15.410,-0.06%,"27,269",289 M
NBJ,15.270,,0,0
NBO,13.760,+0.07%,"9,245",70 M
NBS,5.180,-2.63%,"57,317",183 M
NBS/WS,.0017,,0,0
NBW,15.480,0.00%,"2,810",86 M
NBY,.7800,-2.50%,"157,938",39 M
NCB,16.170,-0.06%,"2,642",53 M
NCU,13.900,,0,80 M
NEA,13.750,-0.07%,"22,296","1,085 M"
NEN,47.500,-0.10%,"1,241",147 M
NEOP,2.000,,0,0
NEP,34.990,+0.92%,"107,563",654 M
NEWN,.05000,0.00%,0,0.74 M
NFC,15.650,,0,40 M
NFM,15.470,,0,65 M
NFZ,14.730,,0,0
NFZpC,9.960,,0,0
NG,2.780,-2.11%,"645,116",882 M
NGB,16.470,,0,52 M
NGD,4.310,+0.70%,"1,645,740","2,172 M"
NGK,14.710,,0,34 M
NGO,14.440,,0,63 M
NGX,12.710,,0,35 M
NHC,57.040,-0.90%,511,811 M
NHCpA,15.250,+0.20%,5,165 M
NHS,13.000,-0.54%,"20,244",254 M
NI,41.630,-0.31%,"545,718","13,127 M"
NII,16.040,,0,63 M
NIV,0,,0,0
NJV,14.260,+0.21%,628,22 M
NKG,12.640,-0.24%,"8,602",133 M
NKL,15.830,,0,242 M
NKO,14.570,,0,0
NKR,14.910,,0,0
NKX,14.070,+0.14%,"38,162",589 M
NLP,8.650,,0,96 M
NMB,13.150,,0,26 M
NMBpC,10.020,,0,15 M
NMZ,13.169,+0.22%,"27,206",659 M
NNB,16.830,,0,0
NNO,13.060,,0,0
NOG,10.030,-6.52%,"1,362,927",612 M
NOM,15.392,+1.26%,300,36 M
NPG,15.470,,0,59 M
NPN,15.085,+0.42%,"6,641",18 M
NRB,16.340,,0,37 M
NRK,12.987,-0.10%,"61,210","1,138 M"
NRO,5.125,+0.49%,"189,211",286 M
NSU,3.400,-1.45%,"70,423",678 M
NTN,.3900,+2.63%,"101,352",36 M
