Symbol,Last,Net Chng,%Change,Volume,Bid,Ask,High,Low,EPS,Vol Index,Sizzle Index
BABY,33.14,+.07,+0.21%,"167,370",33.10,33.14,33.53,32.67,.96,39.46%,1.914
BALT,3.62,-.17,-4.49%,"642,085",3.62,3.63,3.91,3.58,-.11,++,0.086
BBBY,65.53,+.29,+0.44%,"562,662",65.51,65.52,65.56,64.78,4.79,20.84%,0.967
BBCN,13.29,+.02,+0.15%,"250,903",13.28,13.29,13.31,13.1599,1.06,++,0.658
BBEP,16.06,-.85,-5.03%,"1,125,399",16.05,16.08,16.80,15.85,-1.81,55.78%,1.454
BBLU,1.38,-.096,-6.50%,"735,948",1.38,1.40,1.49,1.35,-.54,,
BBRY,10.48,+.225,+2.19%,"4,326,713",10.47,10.48,10.48,10.08,-9.59,60.89%,0.696
BBSI,44.16,+.32,+0.73%,"107,248",44.15,44.33,44.30,43.54,2.47,55.20%,0.694
BBVA,11.49,-.25,-2.13%,"827,666",11.48,11.49,11.56,11.34,0,30.67%,0.891
BCEI,40.48,-1.80,-4.26%,"656,479",40.48,40.53,41.40,38.78,1.34,72.18%,1.785
BCOR,15.79,+.07,+0.45%,"113,409",15.79,15.80,15.81,15.60,.6,52.24%,0.35
BCOV,5.245,+.045,+0.87%,"157,483",5.24,5.25,5.245,5.07,-.37,65.71%,111.728
BCRX,11.63,-.20,-1.69%,"426,483",11.62,11.63,11.98,11.33,-.63,90.78%,0.627
BDBD,7.965,-.505,-5.96%,"2,933,881",7.96,7.97,8.57,7.89,.11,87.02%,0.212
BDSI,16.94,+.32,+1.93%,"371,801",16.92,16.96,17.01,16.22,-1.06,71.20%,0.957
BEAV,74.45,-.99,-1.31%,"746,316",74.41,74.43,75.03,73.48,3.93,37.44%,0.501
BEBE,2.20,+.07,+3.29%,"102,902",2.19,2.20,2.22,2.10,-.75,80.13%,3.471
BECN,26.16,-.52,-1.95%,"228,403",26.15,26.16,26.60,26.04,1.14,31.17%,0.585
BERY,24.78,-.21,-0.84%,"252,782",24.78,24.79,24.928,24.53,.49,32.58%,0.272
BF/B,89.59,+.59,+0.66%,"168,499",89.57,89.62,89.76,88.71,3.1,20.36%,0.392
BGCP,7.84,+.01,+0.13%,"250,176",7.84,7.85,7.85,7.70,.19,28.25%,0.207
BGFV,10.45,+.49,+4.92%,"169,800",10.42,10.45,10.45,9.791,.86,65.42%,3.882
BIDU,220.8205,-1.7295,-0.78%,"1,975,267",220.70,220.77,223.35,220.07,6.27,42.57%,0.734
BIIB,319.12,-2.55,-0.79%,"634,417",318.94,319.30,323.12,317.001,10.56,30.94%,0.338
BIOD,1.5699,+.0299,+1.94%,"88,928",1.5500,1.5700,1.6000,1.4700,-.51,109.21%,3.764
BIOF,7.4248,+.1548,+2.13%,"261,144",7.41,7.46,7.44,6.7465,-1.7,,
BIOS,5.95,-.04,-0.67%,"388,552",5.94,5.95,6.00,5.87,-1.18,124.15%,0.066
BITA,80.80,+.80,+1.00%,"907,224",80.59,80.74,83.21,79.37,0,73.45%,0.886
BJRI,41.60,-.55,-1.30%,"541,034",41.60,41.66,42.15,41.43,.69,39.28%,1.261
BKCC,8.6899,+.1399,+1.64%,"233,836",8.68,8.69,8.695,8.52,1.33,++,0.171
BLDP,2.7800,-.05,-1.77%,"401,210",2.7700,2.7800,2.8900,2.7500,-.13,80.83%,0.558
BLDR,5.58,-.16,-2.79%,"164,558",5.57,5.58,5.80,5.50,.19,75.84%,0.424
BLMN,18.52,+.05,+0.27%,"413,894",18.51,18.52,18.54,18.25,1.18,50.72%,0.171
BLOX,15.13,-.12,-0.79%,"128,415",15.13,15.14,15.28,15.00,-.45,54.89%,0.325
BLRX,1.34,-.02,-1.47%,"121,947",1.34,1.36,1.37,1.30,0,,
BLUE,40.00,-1.00,-2.44%,"532,899",40.01,40.06,40.80,39.62,6.42,98.84%,0.602
BMRN,81.25,+.22,+0.27%,"561,995",81.18,81.24,81.40,80.06,-1.19,36.09%,0.639
BOBE,48.67,+.34,+0.70%,"213,072",48.65,48.68,48.71,48.10,.82,33.56%,2.028
BONT,8.69,-.32,-3.55%,"92,711",8.67,8.69,8.98,8.61,-.32,61.66%,0.376
BPFH,12.11,-.02,-0.16%,"161,522",12.10,12.11,12.14,11.95,.77,36.38%,0.106
BPOP,30.50,+.09,+0.30%,"159,637",30.50,30.52,30.55,30.11,-.42,28.77%,0.445
BRCD,10.23,+.28,+2.81%,"2,348,478",10.23,10.24,10.26,9.81,.48,43.10%,1.07
BRCM,39.93,+.23,+0.58%,"1,915,088",39.93,39.94,40.00,39.43,.73,26.47%,1.134
BRFS,22.81,-.54,-2.31%,"1,461,975",22.81,22.82,22.85,22.06,0,42.70%,0.264
BRKL,9.00,-.11,-1.21%,"103,129",8.99,9.01,9.08,8.965,.54,35.18%,1.471
BRKR,20.06,-.02,-0.10%,"150,732",20.06,20.08,20.12,19.82,.46,47.23%,0.064
BSAC,21.13,-.20,-0.94%,"149,764",21.12,21.13,21.20,21.00,0,28.62%,1.485
BSBR,6.15,-.18,-2.84%,"79,568,731",6.14,6.15,6.17,6.03,0,122.26%,0.524
BSMX,12.98,-.11,-0.84%,"266,815",12.98,12.99,13.03,12.71,.7,32.70%,0.053
BURL,40.32,+.70,+1.77%,"249,571",40.30,40.34,40.40,39.46,-.01,42.65%,0.805
BWLD,133.54,-1.86,-1.37%,"542,990",133.47,133.62,136.6032,133.33,4.78,45.63%,4.736
CACI,72.265,+.275,+0.38%,"114,123",72.24,72.29,72.63,71.69,5.38,23.43%,0.71
