Symbol,Last,Net Chng,%Change,Volume,Bid,Ask,High,Low,EPS,Vol Index,Sizzle Index
DRYS,1.5027,-.0173,-1.14%,"12,119,672",1.5000,1.5100,1.5700,1.4600,-.58,128.96%,0.37
DSKY,16.14,+.03,+0.19%,"92,140",16.18,16.22,16.26,15.76,0,70.58%,0.134
DVAX,1.7200,+.10,+6.17%,"3,759,081",1.7100,1.7200,1.7300,1.5900,-.32,138.04%,0.66
DWRE,55.03,+.39,+0.71%,"127,712",55.02,55.10,55.125,53.62,-.65,71.51%,0.275
DXCM,43.05,-.26,-0.60%,"273,730",43.02,43.07,43.31,42.57,-.37,46.03%,0.413
DYAI,1.5200,+.06,+4.11%,"93,584",1.5200,1.5400,1.6000,1.5000,0,,
DYAX,10.898,+.088,+0.81%,"454,618",10.89,10.90,10.99,10.52,-.14,62.45%,0.205
EBAY,51.39,+.27,+0.53%,"2,919,832",51.39,51.40,51.49,50.97,-.13,25.13%,0.222
EBIX,14.37,+.12,+0.84%,"113,827",14.37,14.38,14.48,14.06,1.48,51.31%,2.12
ECHO,25.77,+1.90,+7.96%,"250,328",25.76,25.84,26.00,23.81,.63,32.59%,2.385
ECYT,5.75,-.06,-1.03%,"305,296",5.75,5.76,5.85,5.60,.31,85.99%,0.069
EFII,42.80,+.31,+0.73%,"160,226",42.79,42.81,42.88,41.73,2.45,37.09%,0.169
EGHT,7.50,+.22,+3.02%,"683,820",7.50,7.51,7.54,7.12,-.02,43.84%,0.554
EGOV,16.39,+.13,+0.80%,"134,672",16.37,16.39,16.54,15.582,.48,69.13%,0.9
EKSO,1.440,+.14,+10.77%,"335,694",1.420,1.440,1.460,1.350,0,,
ELGX,11.05,-.36,-3.16%,"291,868",11.04,11.05,11.34,10.97,-.09,++,0.034
ELNK,3.47,+.05,+1.46%,"286,705",3.46,3.47,3.4999,3.40,-3.31,67.06%,0.065
EMES,87.24,-7.76,-8.17%,"773,469",87.21,87.54,91.39,86.21,2.83,84.94%,2.761
EMKR,5.122,-.098,-1.88%,"139,565",5.11,5.14,5.23,5.11,-.43,41.24%,0.133
ENDP,65.06,+.02,+0.03%,"319,800",65.05,65.07,65.37,64.27,-8.24,38.30%,0.04
ENLK,31.32,+.20,+0.64%,"163,820",31.28,31.32,31.44,30.546,-1.51,36.24%,0.429
ENOC,13.849,+.009,+0.07%,"96,081",13.83,13.85,13.849,13.53,1.06,60.82%,0.154
ENPH,13.24,-.16,-1.19%,"164,436",13.23,13.25,13.40,13.00,-.43,83.59%,0.092
ENTA,45.16,-.01,-0.02%,"91,655",45.15,45.25,45.50,44.51,1.69,51.81%,0.127
ENTG,12.09,+.13,+1.09%,"368,518",12.09,12.10,12.11,11.771,.27,34.75%,4.359
ENTR,2.345,+.045,+1.96%,"138,933",2.340,2.350,2.350,2.260,-.76,53.33%,0.182
EOPN,5.57,-.23,-3.97%,"96,340",5.57,5.59,5.918,5.52,-1.09,82.64%,0.179
EPAM,46.91,+2.55,+5.75%,"781,170",46.91,47.00,47.15,44.02,1.37,51.77%,3.889
EPZM,28.02,-1.68,-5.66%,"130,375",28.02,28.16,29.25,27.64,.97,111.73%,0.452
EQIX,191.43,-3.44,-1.77%,"385,862",191.34,191.54,195.86,190.69,2.79,33.56%,0.385
ERIC,11.40,-.07,-0.61%,"2,124,067",11.39,11.40,11.40,11.20,0,27.41%,0.482
EROC,3.291,-.089,-2.63%,"214,400",3.29,3.30,3.368,3.20,-1.97,112.14%,0.649
ESNT,23.62,+.25,+1.07%,"109,154",23.63,23.65,23.76,23.38,1.11,38.57%,3.322
ESPR,25.74,+1.06,+4.29%,"238,040",25.64,25.77,25.88,24.8425,27.67,,
ESRT,15.70,-.03,-0.19%,"207,744",15.69,15.70,15.73,15.50,0,29.73%,0.397
ESRX,73.39,-.26,-0.35%,"2,222,092",73.39,73.40,73.75,73.34,2.27,29.96%,0.97
ETFC,20.935,-.235,-1.11%,"1,515,360",20.92,20.93,21.14,20.69,1.05,39.95%,0.316
ETRM,1.2499,+.0399,+3.30%,"173,020",1.2400,1.2500,1.2500,1.1810,-.43,204.38%,0.261
EVDY,12.27,+.11,+0.90%,"86,210",12.27,12.28,12.37,12.12,0,,
EVEP,30.188,-1.602,-5.04%,"194,877",30.22,30.25,32.28,29.90,-1.75,44.29%,2.465
EVHC,34.72,-.29,-0.83%,"228,748",34.71,34.75,34.97,34.55,.12,35.92%,0.085
EVTC,21.57,-.14,-0.64%,"166,094",21.57,21.61,21.74,21.48,2.72,34.60%,2.083
EWBC,34.77,+.03,+0.09%,"174,696",34.76,34.77,34.84,34.38,2.29,20.61%,0.235
EXAM,37.60,+.14,+0.37%,"127,160",37.57,37.61,37.78,37.44,-.03,48.19%,0.341
EXAR,9.00,-.07,-0.77%,"243,820",9.00,9.01,9.12,8.75,-.16,++,2.29
EXAS,23.14,-.42,-1.78%,"1,356,622",23.12,23.15,23.46,22.06,-.79,51.19%,1.53
EXEL,1.690,0,0.00%,"1,542,963",1.680,1.690,1.720,1.630,-1.52,103.16%,1.747
EXPD,41.23,+.31,+0.76%,"543,510",41.22,41.23,41.26,40.57,1.73,28.44%,1.245
EXPE,80.29,-1.24,-1.52%,"1,600,543",80.29,80.30,81.10,78.95,2.47,52.33%,1.409
EXPR,14.55,+.46,+3.26%,"623,175",14.54,14.55,14.57,13.98,.93,69.72%,0.139
EXTR,3.12,-.02,-0.64%,"349,476",3.11,3.12,3.125,3.05,-.6,107.20%,0.016
EXXI,7.12,-.45,-5.94%,"3,609,189",7.12,7.13,7.33,6.935,.64,118.01%,1.1
EZPW,10.09,-.38,-3.63%,"204,188",10.08,10.09,10.40,10.07,.25,64.27%,2.339
FANG,64.00,-3.24,-4.82%,"990,803",64.00,64.04,65.00,60.51,1.79,59.64%,1.259
FAST,42.56,-.11,-0.26%,"578,667",42.53,42.55,42.57,42.10,1.6,22.38%,0.636
FBHS,41.96,+.11,+0.26%,"222,564",41.93,41.96,42.04,41.37,1.54,40.03%,0.167
FCAU,9.25,-.25,-2.63%,"2,831,690",9.24,9.25,9.47,9.23,0,,
FCEL,1.7450,-.035,-1.97%,"921,485",1.7400,1.7500,1.7800,1.7200,-.18,83.09%,0.138
FDML,14.38,-.27,-1.84%,"94,366",14.32,14.38,14.79,14.10,-.09,43.75%,0.973
FEIC,78.95,-.27,-0.34%,"221,168",78.93,79.01,79.40,78.22,2.82,43.89%,1.064
FENG,9.50,-.01,-0.11%,"93,806",9.49,9.51,9.54,9.36,.59,55.15%,0.076
FEYE,31.305,-.205,-0.65%,"2,131,268",31.29,31.30,31.47,30.55,-.26,72.08%,0.894
FFIV,115.63,+.73,+0.64%,"524,037",115.61,115.65,116.05,113.53,3.8,40.78%,3.59
FINL,25.22,-.14,-0.55%,"382,352",25.21,25.23,25.25,24.79,1.71,31.81%,0.061
FISV,66.44,+.40,+0.61%,"401,868",66.42,66.44,66.675,65.75,2.75,23.11%,4.267
FITB,19.10,-.02,-0.10%,"1,686,085",19.10,19.11,19.12,18.99,1.92,22.56%,1.634
FIVE,38.28,+.33,+0.87%,"534,068",38.24,38.28,38.29,37.50,.7,52.04%,1.513
FLEX,9.31,-.02,-0.21%,"1,711,485",9.31,9.32,9.34,9.19,.79,46.16%,1.301
FLIR,32.13,+.09,+0.28%,"483,479",32.12,32.13,32.48,31.94,1.04,23.95%,0.128
FLWS,8.15,+.18,+2.26%,"114,719",8.11,8.15,8.15,7.853,.22,51.40%,0.08
FMBI,15.93,+.07,+0.44%,"117,747",15.92,15.93,16.04,15.6401,1.13,29.36%,1.414
FMCC,2.3000,+.06,+2.68%,"2,331,924",2.3000,2.3100,2.3200,2.2600,-.86,,
FMER,17.19,-.09,-0.52%,"324,497",17.18,17.19,17.2403,17.11,1.23,21.49%,1.458
FMSA,13.67,-.78,-5.40%,"728,665",13.61,13.69,14.36,13.18,0,73.39%,0.207
FNFG,7.20,-.10,-1.37%,"11,354,108",7.19,7.20,7.39,7.00,.73,31.90%,4.6
FNFV,13.47,+.07,+0.52%,"133,300",13.47,13.49,13.50,13.34,0,30.82%,0.082
FNGN,35.67,+.25,+0.71%,"94,549",35.62,35.65,35.85,34.80,.67,53.26%,0.633
FNHC,33.47,+.99,+3.05%,"149,648",33.39,33.53,33.63,32.1505,2.6,,
FNMA,2.3900,+.05,+2.14%,"5,127,409",2.3900,2.4000,2.4000,2.3500,-.17,,
FNSR,15.89,-.035,-0.22%,"411,475",15.88,15.89,15.94,15.50,.97,47.13%,7.35
FOLD,5.695,-.245,-4.12%,"392,565",5.69,5.70,5.97,5.6202,-.96,51.74%,0.196
FOSL,100.56,-.20,-0.20%,"348,516",100.52,100.60,100.94,99.44,6.4,43.17%,0.597
FOXA,33.56,+.21,+0.63%,"4,984,763",33.55,33.56,33.745,33.20,1.67,27.51%,0.109
FRAN,12.24,+.19,+1.58%,"274,193",12.23,12.24,12.25,11.8801,.9,47.74%,0.073
FRGI,52.74,+.48,+0.92%,"206,231",52.72,52.80,53.34,51.75,.65,41.09%,1.133
FROT,1.05,-.01,-0.94%,"89,141",1.03,1.05,1.05,.91,-.01,,
FSFR,10.94,-.04,-0.36%,"81,685",10.94,10.97,11.00,10.85,0,,
FSIC,10.59,+.04,+0.38%,"334,054",10.58,10.59,10.59,10.5201,1.02,21.67%,1.005
FSLR,54.76,-1.68,-2.98%,"1,256,796",54.73,54.76,56.01,54.07,3.81,64.90%,0.833
FTNT,25.38,-.35,-1.36%,"497,151",25.38,25.39,25.63,25.26,.18,33.01%,0.072
FUEL,16.63,-.88,-5.03%,"279,725",16.63,16.66,17.50,16.27,-.56,90.26%,1.823
FULT,11.26,-.02,-0.18%,"355,571",11.25,11.26,11.33,11.15,.87,31.21%,4.317
FWLT,30.28,-.13,-0.43%,"242,900",30.27,30.28,30.44,30.07,1.15,27.96%,1.075
FWRD,45.86,+.20,+0.44%,"89,971",45.86,45.94,45.90,44.83,1.91,24.21%,0.189
FXCM,15.04,+.51,+3.51%,"475,847",15.03,15.04,15.08,14.39,-.14,56.55%,0.069
FXEN,2.87,0,0.00%,"80,274",2.86,2.87,2.89,2.7098,.1,79.64%,0.299
GALE,1.9751,+.0751,+3.95%,"1,174,214",1.9700,1.9800,2.0301,1.8500,-.81,95.32%,2.064
GBCI,26.08,-.01,-0.04%,"86,839",26.04,26.07,26.08,25.56,1.5,27.21%,0.526
GBDC,17.0866,+.1566,+0.92%,"93,393",17.05,17.09,17.125,16.8735,1.35,25.46%,0.876
GDOT,21.685,+.015,+0.07%,"138,507",21.67,21.69,21.95,21.33,.79,66.42%,0.562
GERN,2.1800,-.05,-2.24%,"693,602",2.1800,2.1900,2.2300,2.1700,-.25,111.53%,1.174
GGAL,13.63,-.12,-0.87%,"129,372",13.61,13.63,13.77,13.14,0,59.72%,0.609
GILD,112.48,+1.77,+1.60%,"6,046,973",112.48,112.51,112.55,108.87,4.44,39.44%,1.34
GIMO,13.67,+.42,+3.17%,"411,340",13.66,13.67,13.70,13.157,-.8,56.40%,0.099
GLNG,52.50,-2.12,-3.88%,"598,704",52.44,52.49,54.29,50.98,1.59,87.34%,0.601
GLOG,19.72,-1.26,-6.01%,"1,074,125",19.69,19.73,20.5799,19.18,.91,75.82%,2.391
GLPI,32.18,+.20,+0.63%,"219,801",32.17,32.20,32.19,31.81,.88,29.89%,0.077
GLUU,4.44,-.03,-0.67%,"983,767",4.43,4.44,4.4728,4.36,-.2,95.72%,2.377
GMCR,144.12,-1.12,-0.77%,"492,705",144.06,144.09,145.73,143.52,3.71,52.69%,0.673
GMED,20.75,+.12,+0.58%,"92,870",20.73,20.75,20.80,20.52,.88,38.24%,0.383
GNRC,44.40,-.14,-0.31%,"380,094",44.39,44.40,44.59,43.85,2.65,52.17%,0.277
GNTX,31.56,-.09,-0.28%,"557,455",31.55,31.57,31.74,31.37,1.98,26.60%,0.029
GOGO,16.47,-.04,-0.24%,"405,733",16.46,16.47,16.50,15.98,6.35,71.32%,0.685
GOLD,63.755,-.935,-1.45%,"382,504",63.65,63.72,64.3351,63.50,3.1,37.10%,0.582
GOMO,7.72,-.59,-7.10%,"89,206",7.72,7.77,8.31,7.64,.24,90.90%,0.644
GOOD,17.60,+.29,+1.68%,"132,133",17.58,17.59,17.62,17.31,-1.01,14.40%,5.753
GOOG,542.00,+2.22,+0.41%,"727,800",541.86,542.14,544.41,537.03,0,21.88%,0.735
GORO,4.62,-.14,-2.94%,"163,386",4.62,4.63,4.72,4.61,.16,53.34%,1.602
GPOR,47.77,-.96,-1.97%,"834,156",47.75,47.77,48.09,46.182,2.32,59.46%,0.293
GPRE,30.38,-1.04,-3.31%,"713,053",30.34,30.38,31.18,29.48,2.86,66.44%,0.389
GPRO,67.931,-3.979,-5.53%,"6,281,517",67.93,68.06,69.85,65.2005,0,89.72%,1.371
GRFS,34.71,+.39,+1.14%,"491,819",34.71,34.74,34.80,33.61,1.01,48.28%,1.529
GRMN,56.12,+.86,+1.56%,"1,947,995",56.11,56.12,56.19,55.38,3.33,37.42%,1.69
GRPN,5.95,-.10,-1.65%,"6,276,454",5.95,5.96,6.05,5.89,-.21,82.92%,0.851
GRUB,36.44,+.44,+1.22%,"732,299",36.44,36.49,36.85,35.31,0,57.85%,0.353
GSAT,2.2500,-.01,-0.44%,"1,561,898",2.2400,2.2500,2.2700,2.1900,-1.43,154.06%,0.427
GSJK,23.15,-.05,-0.22%,"117,969",23.10,23.18,23.19,22.61,1.25,42.38%,0.392
GTLS,45.86,-2.15,-4.48%,"285,841",45.80,45.85,48.00,45.20,2.48,59.93%,0.394
GWPH,74.79,+2.02,+2.78%,"152,863",74.79,74.90,74.8439,71.86,0,74.07%,0.478
GWRE,48.23,+.17,+0.35%,"134,752",48.21,48.25,48.35,47.58,.21,37.99%,0.579
HAIN,102.35,-.15,-0.15%,"434,970",102.37,102.42,102.78,101.71,2.83,33.26%,0.446
HALO,9.09,-.06,-0.66%,"337,629",9.08,9.09,9.13,8.88,-.71,31.52%,1.385
HAWK,32.74,-.10,-0.30%,"198,028",32.72,32.75,32.977,32.52,.98,41.52%,0.034
HBAN,9.53,+.04,+0.42%,"4,551,989",9.53,9.54,9.58,9.46,.7,27.37%,0.865
HBHC,33.20,+.28,+0.85%,"151,423",33.18,33.21,33.21,32.69,2.04,25.35%,1.582
HCBK,9.205,+.065,+0.71%,"1,180,292",9.20,9.21,9.215,9.06,.33,24.90%,0.189
HCLP,46.82,-4.25,-8.32%,"540,315",46.81,46.91,49.91,46.6067,2.4,63.75%,1.451
HDSN,4.28,-.14,-3.17%,"161,558",4.25,4.28,4.44,4.17,-.4,103.86%,0.167
HEES,36.525,-.505,-1.36%,"204,668",36.50,36.57,36.85,35.47,1.48,53.78%,0.028
HELE,60.1495,+.3795,+0.63%,"151,572",59.95,60.16,60.32,59.00,2.7,25.47%,0.977
HERO,1.5250,-.005,-0.33%,"1,593,628",1.5200,1.5300,1.6000,1.4800,-1.02,84.37%,0.072
HIBB,44.58,+.98,+2.25%,"138,891",44.57,44.59,44.5899,43.13,2.72,36.64%,1.953
HIMX,7.75,+.13,+1.71%,"2,224,213",7.74,7.75,7.80,7.58,.36,88.29%,0.331
HLIT,6.11,-.12,-1.93%,"218,284",6.11,6.13,6.30,6.05,-.13,29.35%,0.005
HLSS,17.820,-.58,-3.15%,"2,119,612",17.820,17.830,18.400,17.290,2.34,43.90%,0.851
HMHC,19.80,-.19,-0.95%,"95,881",19.80,19.82,19.90,19.70,.42,32.05%,0.058
HMIN,30.34,+.34,+1.13%,"129,012",30.20,30.40,30.46,29.5001,.69,41.19%,0.222
HMSY,21.48,+.19,+0.89%,"143,164",21.48,21.49,21.49,21.00,.37,62.55%,2.513
HMTV,11.25,+.04,+0.36%,"94,065",11.12,11.25,11.42,10.988,.13,,
HOLI,23.35,+.23,+0.99%,"204,712",23.34,23.37,23.39,23.03,1.19,41.82%,0.17
HOLX,25.00,+.06,+0.24%,"1,497,519",24.99,25.00,25.64,24.89,-4.18,40.24%,0.041
HSBC,50.2155,-.4445,-0.88%,"611,978",50.21,50.22,50.37,49.96,4.2,20.63%,1.023
HSEB,26.68,-.01,-0.04%,"126,640",26.66,26.68,26.74,26.66,0,,
HSIC,118.00,+.18,+0.15%,"110,783",117.95,118.02,118.26,117.51,5.19,17.64%,0.244
HSNI,65.48,+.09,+0.14%,"132,175",65.45,65.52,65.77,64.6901,3.11,34.33%,0.425
HSOL,1.9900,0,0.00%,"114,004",1.9800,1.9900,2.0200,1.9400,-1.7,86.99%,0.299
HTCH,3.50,-.04,-1.13%,"295,922",3.49,3.50,3.54,3.41,-1.8,103.77%,0.4
HTGC,15.4501,+.0901,+0.59%,"150,883",15.45,15.46,15.49,15.26,1.66,20.72%,0.817
HTLD,24.60,+.59,+2.46%,"196,178",24.56,24.58,24.78,23.50,.83,25.48%,0.695
HUBG,35.29,+.92,+2.68%,"408,338",35.29,35.31,35.32,33.30,1.78,39.54%,2.799
HUBS,32.74,+.63,+1.96%,"141,461",32.61,32.87,33.50,32.12,0,,
HWAY,15.14,+.27,+1.82%,"97,316",15.12,15.16,15.1855,14.668,-.39,37.86%,0.232
HZNP,12.565,+.225,+1.82%,"469,507",12.56,12.58,12.6699,12.12,-5.03,82.14%,0.322
IACI,62.88,+.62,+1.00%,"505,270",62.85,62.88,62.89,61.74,3.4,39.53%,1.324
IBIO,1.4100,-.09,-6.00%,"3,452,595",1.4000,1.4200,1.4800,1.3500,-.06,,
IBKR,25.55,-.35,-1.35%,"141,913",25.53,25.54,25.76,25.44,.71,24.14%,0.347
ICLR,56.10,-.61,-1.08%,"326,016",56.10,56.14,56.97,55.51,2.54,27.13%,0.333
ICON,37.36,-.23,-0.61%,"306,268",37.35,37.36,37.51,36.84,2.58,35.15%,2.868
ICPT,240.505,+2.855,+1.20%,"107,860",240.22,241.00,243.41,235.77,5.33,85.81%,1.103
IDCC,44.30,+.64,+1.47%,"148,104",44.29,44.33,44.3735,43.08,2.89,51.31%,0.854
IDRA,2.4500,-.01,-0.41%,"192,336",2.4400,2.4500,2.4500,2.3600,-.4,194.47%,0.075
IDTI,14.13,+.13,+0.93%,"1,650,739",14.13,14.14,14.16,13.80,.83,60.79%,3.157
IDXX,138.23,+3.03,+2.24%,"306,383",138.12,138.24,138.49,135.33,3.67,24.00%,2.093
ILMN,191.22,+2.10,+1.11%,"641,131",191.12,191.57,191.55,187.51,1.47,34.90%,0.601
IMAX,28.54,-.22,-0.76%,"217,706",28.53,28.54,28.95,28.322,.66,26.95%,3.218
IMGN,8.45,-.30,-3.43%,"1,149,654",8.45,8.46,8.71,8.37,-.83,65.53%,0.674
IMMR,7.83,+.08,+1.03%,"129,575",7.81,7.83,7.87,7.62,1.37,83.76%,0.552
IMMU,3.79,+.01,+0.26%,"240,122",3.79,3.80,3.81,3.72,-.42,76.04%,0.475
IMOS,20.31,-.08,-0.39%,"117,305",20.34,20.38,20.38,19.57,1.48,52.81%,0.844
IMPV,33.66,+2.26,+7.20%,"416,725",33.66,33.67,33.8205,31.18,-1.83,84.91%,2.574
IMSC,1.1700,-.04,-3.31%,"119,125",1.1600,1.1700,1.2000,1.1700,-.35,,
INAP,6.79,-.02,-0.29%,"85,845",6.78,6.79,6.80,6.61,-.72,42.61%,0.801
INCY,56.44,+1.37,+2.49%,"632,627",56.43,56.44,56.47,54.51,-.86,49.50%,0.443
INFA,34.26,-.17,-0.49%,"817,567",34.26,34.27,34.43,33.87,.87,29.33%,1.689
INFI,13.39,+.665,+5.23%,"271,324",13.37,13.40,13.50,12.44,-3.05,80.47%,0.824
INFN,13.55,-.23,-1.67%,"2,131,914",13.55,13.56,13.67,13.34,-.05,46.88%,1.134
INFU,4.30,+.31,+7.77%,"593,023",4.27,4.30,4.30,3.82,.14,,
INFY,61.95,-.23,-0.37%,"724,554",61.95,61.96,62.44,61.49,3.06,25.89%,0.506
INGR,75.26,-.71,-0.93%,"493,294",75.23,75.26,76.38,74.97,4.75,28.62%,0.629
INSM,14.12,-.15,-1.05%,"114,584",14.12,14.13,14.25,13.95,-1.85,56.06%,0.459
INSY,38.94,-.05,-0.13%,"199,555",38.90,39.07,39.30,38.01,1.65,77.52%,0.171
INTC,33.18,0,0.00%,"10,960,645",33.17,33.18,33.25,32.77,2.1,25.60%,0.4
INTU,85.30,+.34,+0.40%,"755,502",85.30,85.32,85.639,84.70,2.96,29.36%,2.894
INUV,1.4032,-.0468,-3.23%,"128,512",1.4000,1.4100,1.4365,1.3800,.06,,
INVN,19.99,-.49,-2.39%,"1,854,379",19.98,19.99,20.48,19.76,-.1,74.65%,1.3
INXN,26.10,+.05,+0.19%,"99,651",26.08,26.10,26.305,25.707,.14,35.88%,0.873
IOSP,36.32,-.76,-2.05%,"84,092",36.27,36.42,36.79,35.75,3.2,38.80%,0.462
IPAS,1.4500,-.06,-3.97%,"101,783",1.4500,1.4600,1.5400,1.4300,-.19,,
IPCM,39.96,-.11,-0.27%,"92,533",39.93,40.11,40.19,39.20,2.21,28.21%,3.138
IPGP,65.97,-.78,-1.17%,"161,371",65.92,65.99,66.74,65.31,3.18,40.66%,1.943
IPHI,14.12,-.10,-0.70%,"133,103",14.10,14.14,14.23,14.02,-.09,58.28%,0.495
IPXL,27.95,+.15,+0.54%,"91,609",27.94,27.97,27.99,27.51,.44,55.76%,0.3
IQNT,13.417,+.267,+2.03%,"146,176",13.39,13.42,13.44,12.93,1.1,65.94%,0.355
IRBT,34.41,+.02,+0.06%,"331,860",34.40,34.45,34.54,33.65,1.04,42.97%,0.164
IRDM,9.01,+.02,+0.22%,"212,209",9.01,9.02,9.06,8.89,.68,44.84%,0.674
IRET,8.1145,+.0245,+0.30%,"127,800",8.11,8.12,8.14,8.07,-.26,22.96%,1.807
IRWD,13.23,-.03,-0.23%,"222,498",13.20,13.23,13.27,12.94,-1.73,62.64%,0.356
ISBC,10.11,-.05,-0.49%,"1,025,678",10.11,10.12,10.145,10.06,.95,21.31%,0.102
ISIL,13.51,-.04,-0.30%,"278,218",13.51,13.52,13.555,13.21,.17,41.52%,1.604
ISIS,45.51,+.51,+1.13%,"1,086,316",45.50,45.51,45.60,44.12,-.81,60.65%,0.777
ISNS,3.14,+.22,+7.53%,"196,077",3.12,3.16,3.18,2.88,-3.62,,
ISRG,475.59,-2.42,-0.51%,"221,847",475.36,475.76,476.08,469.75,11.45,29.90%,0.412
ISSI,12.52,+.03,+0.24%,"125,354",12.53,12.58,12.54,12.22,.8,34.09%,0.019
ITRI,38.13,+.11,+0.29%,"152,846",38.09,38.13,38.13,37.76,-3.64,46.32%,2.708
ITUB,12.69,-.80,-5.93%,"25,696,444",12.69,12.70,12.75,12.43,0,45.33%,0.469
JACK,70.90,-.37,-0.52%,"263,742",70.86,70.92,72.229,70.875,2.36,34.36%,1.263
JAKK,6.29,-.225,-3.45%,"739,358",6.28,6.29,6.5657,6.23,-.09,68.36%,0.294
JASO,7.9899,-.2701,-3.27%,"1,491,650",7.98,7.99,8.25,7.89,-1.94,68.25%,0.592
JAZZ,161.61,-4.85,-2.91%,"412,386",161.56,161.79,166.55,160.22,1.29,42.58%,0.316
JBHT,77.95,+.61,+0.79%,"308,035",77.92,77.96,78.13,76.99,3,23.65%,2.499
JBLU,11.1699,+.2099,+1.92%,"3,654,815",11.16,11.17,11.24,10.86,1.07,51.77%,0.158
JCOM,51.07,+.41,+0.81%,"102,416",51.02,51.07,51.27,50.50,2.35,42.42%,0.256
JDSU,12.19,+.09,+0.74%,"1,097,826",12.19,12.20,12.22,11.99,-.08,50.41%,0.406
JIVE,5.715,+.015,+0.26%,"117,318",5.70,5.71,5.73,5.61,-1.06,71.64%,1.295
JKHY,57.34,-.25,-0.43%,"144,588",57.34,57.36,57.70,57.01,2.36,27.06%,0.238
JMEI,21.9695,-.0405,-0.18%,"412,105",21.92,21.97,22.85,21.78,0,75.72%,0.474
JNPR,19.66,+.66,+3.47%,"7,965,002",19.65,19.66,19.68,18.81,1.21,31.05%,0.779
JONE,10.85,-1.11,-9.28%,"249,021",10.83,10.85,11.34,10.745,-.04,56.08%,4.661
JRJC,5.1799,-.1101,-2.08%,"242,209",5.15,5.18,5.321,5.0501,-.37,85.84%,0.448
KALU,69.20,-.77,-1.10%,"114,696",69.06,69.17,69.85,68.74,4.44,23.00%,0.696
KANG,17.98,-.60,-3.23%,"201,924",17.98,18.02,18.71,17.93,-.49,55.76%,0.88
KATE,26.24,-.08,-0.30%,"322,996",26.21,26.25,26.29,25.65,.58,58.98%,0.337
KERX,16.38,-.35,-2.09%,"416,410",16.38,16.39,16.69,16.10,-.81,59.10%,0.724
KEYW,10.45,+.48,+4.81%,"170,080",10.41,10.46,10.48,9.89,-.29,67.36%,0.579
KFRC,20.31,-.03,-0.15%,"136,015",20.29,20.33,20.455,19.97,.54,51.23%,0.07
KING,11.325,-.025,-0.22%,"411,004",11.32,11.33,11.39,11.12,0,93.73%,0.225
KITE,34.2408,+.8608,+2.58%,"271,482",34.14,34.26,34.908,32.29,0,73.91%,0.48
KLAC,74.755,-1.145,-1.51%,"1,465,809",74.75,74.76,76.28,74.30,3.24,24.90%,1.021
KLIC,13.88,+.03,+0.22%,"215,437",13.87,13.88,13.97,13.68,.83,37.59%,0.566
KNDI,14.9109,+.9009,+6.43%,"1,331,639",14.91,14.95,15.06,14.002,-.72,91.84%,2.842
KORS,76.54,+.80,+1.06%,"621,999",76.51,76.54,76.61,74.39,3.52,43.93%,0.609
KPTI,35.70,-.02,-0.06%,"96,083",35.58,35.83,36.56,35.0005,-1.22,88.21%,0.064
KRFT,56.97,+.14,+0.25%,"870,913",56.97,56.98,57.20,56.65,4.02,19.10%,0.493
KTOS,6.61,-.15,-2.22%,"224,046",6.61,6.62,6.90,6.57,-1.42,++,6.865
KYTH,36.27,-.24,-0.66%,"105,577",36.23,36.40,36.51,35.62,-5.27,51.43%,0.649
LAKE,12.9036,-.1864,-1.42%,"1,221,413",12.89,12.90,13.73,12.87,-.69,,
LAMR,50.22,+.08,+0.16%,"417,863",50.21,50.23,50.62,49.87,.4,28.08%,2.374
LAYN,7.89,+1.58,+25.04%,"943,249",7.89,7.91,8.14,6.25,-3.73,60.93%,1.46
LDOS,35.36,-.02,-0.06%,"145,481",35.35,35.38,35.42,35.185,-4.77,25.14%,1.61
LECO,67.24,-.92,-1.35%,"232,934",67.20,67.30,67.89,66.80,3.52,29.36%,0.053
LEJU,13.41,-.16,-1.18%,"192,937",13.40,13.44,13.90,13.21,0,,
LFUS,86.265,+.125,+0.15%,"158,982",86.23,86.49,86.43,85.49,4.44,32.65%,1.868
LFVN,1.28,-.02,-1.54%,"157,402",1.27,1.28,1.32,1.26,.1,,
LGCY,22.38,-.84,-3.62%,"163,113",22.25,22.32,23.31,22.2238,-1.2,54.74%,0.506
LGND,54.09,+.12,+0.22%,"262,456",54.02,54.14,54.63,51.76,.36,59.37%,0.882
LINE,24.3799,-.9701,-3.83%,"1,229,106",24.35,24.37,25.19,24.00,-4.37,56.98%,1.202
LIQT,1.4537,-.0963,-6.21%,"87,101",1.4400,1.4600,1.5490,1.4300,-.17,,
LIVE,2.9550,-.005,-0.17%,"93,282",2.9500,2.9600,3.0800,2.8600,-.29,115.50%,0.034
LJPC,10.86,-.39,-3.47%,"164,998",10.72,10.87,11.40,10.67,-24.83,,
LLTC,40.91,+.02,+0.05%,"656,787",40.90,40.91,40.92,40.37,1.98,24.79%,0.446
LMCA,46.47,+.01,+0.02%,"293,690",46.45,46.47,46.70,46.09,50.92,29.17%,0.08
LMCK,46.03,+.20,+0.44%,"177,848",46.02,46.06,46.33,45.64,0,++,1.41
LMNX,20.76,+.29,+1.42%,"97,916",20.77,20.79,20.845,20.27,.4,51.37%,1.222
